Company, CIK, Filing form type, Year, Quarter, Filing date, Filelink
SEACHANGE INTERNATIONAL INC,1019671,8K,2021,Q2,2021-06-01,1019671_8K_2021_0001564590-21-032452.htm
JACK IN THE BOX INC,807882,8K,2021,Q2,2021-05-01,807882_8K_2021_0001157523-21-000650.htm
ENVESTNET INC,1337619,10Q,2020,Q4,2020-01-01,1337619_10Q_2021_0001628280-21-016073.htm
AWARE INC,1015739,8K,2021,Q1,2021-02-01,1015739_8K_2021_0001193125-21-034380.htm
COUPA SOFTWARE INC,1385867,8K,2021,Q1,2021-03-01,1385867_8K_2021_0001385867-21-000006.htm
SOLARWINDS CORP,1739942,8K,2021,Q4,2021-11-01,1739942_8K_2021_0001739942-21-000157.htm
ZOOM TELEPHONICS INC,1467761,10Q,2020,Q4,2020-01-01,1467761_10Q_2021_0001654954-21-005766.htm
TENABLE HOLDINGS INC,1660280,10Q,2020,Q4,2020-01-01,1660280_10Q_2021_0001660280-21-000127.htm
SYNCHRONOSS TECHNOLOGIES,1131554,8K,2021,Q2,2021-05-01,1131554_8K_2021_0001131554-21-000022.htm
DIGITAL TURBINE INC,317788,8K,2021,Q2,2021-05-01,317788_8K_2021_0001104659-21-074178.htm
TRADE DESK INC,1671933,8K,2021,Q4,2021-11-01,1671933_8K_2021_0001157523-21-001360.htm
8X8 INC,1023731,8K,2021,Q4,2021-12-01,1023731_8K_2021_0001023731-21-000260.htm
INTELLIGENT SYSTEM CORP,320340,8K,2021,Q2,2021-05-01,320340_8K_2021_0001171843-21-003791.htm
BENEFITFOCUS INC,1576169,8K,2021,Q1,2021-03-01,1576169_8K_2021_0001193125-21-082888.htm
VERITONE INC,1615165,8K,2021,Q3,2021-08-01,1615165_8K_2021_0001564590-21-040243.htm
MGT CAPITAL INVESTMENTS INC,1001601,8K,2021,Q3,2021-10-01,1001601_8K_2021_0001493152-21-024437.htm
YEXT INC,1614178,8K,2021,Q1,2021-03-01,1614178_8K_2021_0001614178-21-000053.htm
SYNOPSYS INC,883241,8K,2021,Q1,2021-04-01,883241_8K_2021_0001193125-21-106382.htm
FIVE9 INC,1288847,10Q,2020,Q4,2020-01-01,1288847_10Q_2021_0001288847-21-000139.htm
ALARM.COM HOLDINGS INC,1459200,8K,2021,Q1,2021-02-01,1459200_8K_2021_0001459200-21-000010.htm
GSE SYSTEMS INC,944480,10Q,2020,Q4,2020-01-01,944480_10Q_2021_0001140361-21-037897.htm
SEACHANGE INTERNATIONAL INC,1019671,10K,2019,Q4,2019-01-01,1019671_10K_2021_0001564590-21-018886.htm
SMARTSHEET INC,1366561,10Q,2020,Q4,2020-01-01,1366561_10Q_2021_0001366561-21-000139.htm
ASPEN TECHNOLOGY INC,929940,8K,2021,Q1,2021-04-01,929940_8K_2021_0000929940-21-000042.htm
GTY TECHNOLOGY HOLDINGS,1682325,10Q,2020,Q4,2020-01-01,1682325_10Q_2021_0001558370-21-007077.htm
NUANCE COMMUNICATIONS INC,1002517,8K,2021,Q2,2021-06-01,1002517_8K_2021_0001193125-21-178760.htm
ANSYS INC,1013462,8K,2021,Q1,2021-02-01,1013462_8K_2021_0001171843-21-001274.htm
SUMO LOGIC INC,1643269,8K,2021,Q1,2021-03-01,1643269_8K_2021_0001643269-21-000004.htm
DROPBOX INC,1467623,8K,2021,Q3,2021-08-01,1467623_8K_2021_0001467623-21-000037.htm
ZOOM VIDEO COMUNICATIONS INC,1585521,8K,2020,Q4,2020-01-01,1585521_8K_2021_0001193125-21-008156.htm
DOMO INC,1505952,10Q,2020,Q4,2020-01-01,1505952_10Q_2021_0001505952-21-000029.htm
BILL.COM HOLDINGS INC,1786352,8K,2021,Q3,2021-08-01,1786352_8K_2021_0001564590-21-045931.htm
CDK GLOBAL INC,1609702,8K,2021,Q3,2021-08-01,1609702_8K_2021_0001171843-21-005944.htm
ZUORA INC,1423774,8K,2021,Q1,2021-04-01,1423774_8K_2021_0001423774-21-000030.htm
ZUORA INC,1423774,8K,2020,Q4,2020-01-01,1423774_8K_2021_0001423774-21-000005.htm
ZOOM VIDEO COMUNICATIONS INC,1585521,10K,2020,Q4,2020-01-01,1585521_10K_2021_0001585521-21-000048.htm
AGILYSYS INC,78749,8K,2021,Q2,2021-05-01,78749_8K_2021_0001564590-21-028694.htm
ADOBE INC,796343,8K,2021,Q2,2021-06-01,796343_8K_2021_0000796343-21-000134.htm
ZENDESK INC,1463172,8K,2021,Q3,2021-10-01,1463172_8K_2021_0001193125-21-313487.htm
FORTINET INC,1262039,8K,2021,Q1,2021-02-01,1262039_8K_2021_0001262039-21-000005.htm
ALTERYX INC,1689923,8K,2020,Q4,2020-01-01,1689923_8K_2020_0001193125-21-001042.htm
ZIX CORP,855612,10Q,2020,Q4,2020-01-01,855612_10Q_2021_0001564590-21-024930.htm
TENABLE HOLDINGS INC,1660280,10Q,2020,Q4,2020-01-01,1660280_10Q_2021_0001660280-21-000166.htm
BENEFITFOCUS INC,1576169,8K,2021,Q4,2021-11-01,1576169_8K_2021_0001193125-21-332005.htm
GSE SYSTEMS INC,944480,10Q,2020,Q4,2020-01-01,944480_10Q_2021_0001140361-21-028519.htm
NUANCE COMMUNICATIONS INC,1002517,8K,2021,Q1,2021-04-01,1002517_8K_2021_0001193125-21-112515.htm
CYREN LTD,1084577,8K,2021,Q3,2021-10-01,1084577_8K_2021_0001213900-21-051596.htm
CDK GLOBAL INC,1609702,8K,2021,Q1,2021-02-01,1609702_8K_2021_0001171843-21-000811.htm
PAYCHEX INC,723531,8K,2021,Q1,2021-02-01,723531_8K_2021_0000723531-21-000006.htm
TYLER TECHNOLOGIES INC,860731,10Q,2020,Q4,2020-01-01,860731_10Q_2021_0000860731-21-000034.htm
DOCUSIGN INC,1261333,8K,2021,Q2,2021-06-01,1261333_8K_2021_0001261333-21-000103.htm
TERADATA CORP,816761,10Q,2020,Q4,2020-01-01,816761_10Q_2021_0000816761-21-000021.htm
MICROSOFT CORP,789019,8K,2021,Q2,2021-07-01,789019_8K_2021_0001193125-21-210827.htm
ONESPAN INC,1044777,8K,2021,Q1,2021-02-01,1044777_8K_2021_0001558370-21-001369.htm
TAUTACHROME INC,1389067,10Q,2020,Q4,2020-01-01,1389067_10Q_2021_0001477932-21-003177.htm
VERINT SYSTEMS INC,1166388,8K,2020,Q4,2020-01-01,1166388_8K_2021_0001166388-21-000002.htm
CDK GLOBAL INC,1609702,8K,2021,Q2,2021-05-01,1609702_8K_2021_0001609702-21-000032.htm
AGILYSYS INC,78749,8K,2021,Q2,2021-06-01,78749_8K_2021_0001564590-21-034012.htm
TERADATA CORP,816761,8K,2021,Q1,2021-02-01,816761_8K_2021_0000816761-21-000004.htm
PARK CITY GROUP INC,50471,8K,2021,Q3,2021-10-01,50471_8K_2021_0001654954-21-010946.htm
SERVICENOW INC,1373715,8K,2021,Q2,2021-06-01,1373715_8K_2021_0001373715-21-000182.htm
CADENCE DESIGN SYSTEMS INC,813672,8K,2021,Q3,2021-10-01,813672_8K_2021_0000813672-21-000036.htm
J2 GLOBAL INC,1084048,8K,2021,Q3,2021-08-01,1084048_8K_2021_0001193125-21-248743.htm
REALPAGE INC,1286225,8K,2021,Q1,2021-02-01,1286225_8K_2021_0001193125-21-036453.htm
TWILIO INC,1447669,8K,2021,Q2,2021-05-01,1447669_8K_2021_0001193125-21-163751.htm
INTRUSION INC,736012,10Q,2020,Q4,2020-01-01,736012_10Q_2021_0001683168-21-003539.htm
CDK GLOBAL INC,1609702,8K,2021,Q3,2021-08-01,1609702_8K_2021_0001609702-21-000053.htm
PAYCOM SOFTWARE INC,1590955,10Q,2020,Q4,2020-01-01,1590955_10Q_2021_0001564590-21-054471.htm
CITRIX SYSTEMS INC,877890,10K,2019,Q4,2019-01-01,877890_10K_2020_0000877890-21-000051.htm
INTRUSION INC,736012,10Q,2020,Q4,2020-01-01,736012_10Q_2021_0001683168-21-005474.htm
INTELLIGENT SYSTEM CORP,320340,10Q,2020,Q4,2020-01-01,320340_10Q_2021_0001437749-21-018617.htm
WORKDAY INC,1327811,10Q,2020,Q4,2020-01-01,1327811_10Q_2021_0001327811-21-000133.htm
TRADE DESK INC,1671933,10Q,2020,Q4,2020-01-01,1671933_10Q_2021_0001564590-21-026067.htm
YEXT INC,1614178,10K,2019,Q4,2019-01-01,1614178_10K_2021_0001614178-21-000065.htm
GTY TECHNOLOGY HOLDINGS,1682325,8K,2021,Q4,2021-11-01,1682325_8K_2021_0001558370-21-014579.htm
DROPBOX INC,1467623,10Q,2020,Q4,2020-01-01,1467623_10Q_2021_0001467623-21-000040.htm
BRIDGELINE DIGITAL INC,1378590,10Q,2020,Q4,2020-01-01,1378590_10Q_2021_0001437749-21-020195.htm
AUTODESK INC,769397,10Q,2020,Q4,2020-01-01,769397_10Q_2021_0000769397-21-000094.htm
BENTLEY SYSTEMS INC,1031308,10K,2019,Q4,2019-01-01,1031308_10K_2020_0001628280-21-003727.htm
ELASTIC NV,1707753,8K,2021,Q3,2021-08-01,1707753_8K_2021_0001707753-21-000048.htm
TERADATA CORP,816761,10Q,2020,Q4,2020-01-01,816761_10Q_2021_0000816761-21-000036.htm
2U INC,1459417,10Q,2020,Q4,2020-01-01,1459417_10Q_2021_0001459417-21-000009.htm
EVERBRIDGE INC,1437352,8K,2021,Q2,2021-05-01,1437352_8K_2021_0001564590-21-026056.htm
TRADE DESK INC,1671933,8K,2021,Q2,2021-05-01,1671933_8K_2021_0001157523-21-000635.htm
CIPHERLOC CORP,1022505,10K,2020,Q4,2020-01-01,1022505_10K_2021_0001493152-21-032215.htm
PAYCHEX INC,723531,8K,2021,Q3,2021-09-01,723531_8K_2021_0000723531-21-000046.htm
SERVICENOW INC,1373715,10Q,2020,Q4,2020-01-01,1373715_10Q_2021_0001373715-21-000202.htm
PAYCHEX INC,723531,8K,2021,Q1,2021-04-01,723531_8K_2021_0000723531-21-000011.htm
ELASTIC NV,1707753,8K,2021,Q1,2021-02-01,1707753_8K_2021_0001707753-21-000008.htm
TERADATA CORP,816761,8K,2021,Q3,2021-09-01,816761_8K_2021_0001193125-21-268903.htm
TRADE DESK INC,1671933,8K,2021,Q3,2021-10-01,1671933_8K_2021_0001564590-21-050550.htm
PARETEUM CORP,1084384,10K,2019,Q4,2019-01-01,1084384_10K_2020_0001628280-21-012457.htm
SONIC FOUNDRY INC,1029744,10Q,2020,Q4,2020-01-01,1029744_10Q_2021_0001437749-21-012090.htm
INTUIT INC,896878,8K,2021,Q4,2021-12-01,896878_8K_2021_0001193125-21-345301.htm
DROPBOX INC,1467623,10K,2019,Q4,2019-01-01,1467623_10K_2020_0001467623-21-000012.htm
ZIX CORP,855612,8K,2021,Q1,2021-02-01,855612_8K_2021_0001193125-21-056997.htm
ROCKETFUEL BLOCKCHAIN INC,823546,8K,2021,Q1,2021-03-01,823546_8K_2021_0001493152-21-005244.htm
VEEVA SYSTEMS INC,1393052,10Q,2020,Q4,2020-01-01,1393052_10Q_2021_0001393052-21-000034.htm
ASPEN TECHNOLOGY INC,929940,8K,2021,Q2,2021-06-01,929940_8K_2021_0000929940-21-000044.htm
ONESPAN INC,1044777,8K,2021,Q3,2021-08-01,1044777_8K_2021_0001558370-21-010196.htm
PHUNWARE INC,1665300,8K,2021,Q4,2021-11-01,1665300_8K_2021_0001628280-21-023385.htm
ANSYS INC,1013462,8K,2021,Q2,2021-05-01,1013462_8K_2021_0001013462-21-000016.htm
BENTLEY SYSTEMS INC,1031308,8K,2021,Q4,2021-12-01,1031308_8K_2021_0001104659-21-154297.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q2,2021-05-01,1167419_8K_2021_0001079973-21-000426.htm
CROWDSTRIKE HOLDINGS INC,1535527,8K,2021,Q3,2021-08-01,1535527_8K_2021_0001535527-21-000017.htm
ASURE SOFTWARE INC,884144,10K,2019,Q4,2019-01-01,884144_10K_2020_0001628280-21-004536.htm
SALESFORCE.COM INC,1108524,8K,2021,Q3,2021-08-01,1108524_8K_2021_0001108524-21-000044.htm
VEEVA SYSTEMS INC,1393052,8K,2021,Q2,2021-06-01,1393052_8K_2021_0001628280-21-013044.htm
CROWDSTRIKE HOLDINGS INC,1535527,10Q,2020,Q4,2020-01-01,1535527_10Q_2021_0001535527-21-000028.htm
CITRIX SYSTEMS INC,877890,8K,2021,Q1,2021-03-01,877890_8K_2021_0001193125-21-062401.htm
BOX INC,1372612,8K,2021,Q2,2021-05-01,1372612_8K_2021_0001193125-21-148600.htm
ZSCALER INC,1713683,8K,2021,Q3,2021-09-01,1713683_8K_2021_0001713683-21-000160.htm
SONIC FOUNDRY INC,1029744,8K,2021,Q2,2021-07-01,1029744_8K_2021_0001437749-21-017938.htm
MICROSOFT CORP,789019,8K,2021,Q3,2021-10-01,789019_8K_2021_0001193125-21-307941.htm
ENVESTNET INC,1337619,8K,2021,Q3,2021-08-01,1337619_8K_2021_0001628280-21-015846.htm
BENEFITFOCUS INC,1576169,8K,2021,Q2,2021-05-01,1576169_8K_2021_0001564590-21-023357.htm
SOLARWINDS CORP,1739942,8K,2021,Q4,2021-11-01,1739942_8K_2021_0001739942-21-000169.htm
SVMK INC,1739936,8K,2021,Q3,2021-10-01,1739936_8K_2021_0001193125-21-311426.htm
PAGERDUTY INC,1568100,8K,2021,Q4,2021-12-01,1568100_8K_2021_0001568100-21-000041.htm
VIRNETX HOLDING CORP,1082324,10Q,2020,Q4,2020-01-01,1082324_10Q_2021_0001140361-21-027363.htm
FALCONSTOR SOFTWARE INC,922521,10K,2019,Q4,2019-01-01,922521_10K_2020_0001628280-21-004460.htm
SUMO LOGIC INC,1643269,8K,2021,Q4,2021-12-01,1643269_8K_2021_0001643269-21-000039.htm
ACI WORLDWIDE INC,935036,10K,2019,Q4,2019-01-01,935036_10K_2020_0000935036-21-000014.htm
ZOOM TELEPHONICS INC,1467761,8K,2021,Q1,2021-04-01,1467761_8K_2021_0001140361-21-012937.htm
BLACKLINE INC,1666134,10K,2019,Q4,2019-01-01,1666134_10K_2020_0001666134-21-000004.htm
BLACKBAUD INC,1280058,10K,2019,Q4,2019-01-01,1280058_10K_2020_0001280058-21-000006.htm
VEEVA SYSTEMS INC,1393052,8K,2021,Q2,2021-05-01,1393052_8K_2021_0001393052-21-000023.htm
PROOFPOINT INC,1212458,10Q,2020,Q4,2020-01-01,1212458_10Q_2021_0001564590-21-039493.htm
FASTLY INC,1517413,10K,2019,Q4,2019-01-01,1517413_10K_2020_0001517413-21-000030.htm
CITRIX SYSTEMS INC,877890,10Q,2020,Q4,2020-01-01,877890_10Q_2021_0000877890-21-000189.htm
TRADE DESK INC,1671933,10K,2019,Q4,2019-01-01,1671933_10K_2020_0001564590-21-006726.htm
BOX INC,1372612,8K,2021,Q3,2021-09-01,1372612_8K_2021_0001387131-21-009243.htm
SVMK INC,1739936,8K,2021,Q2,2021-06-01,1739936_8K_2021_0001564590-21-033610.htm
APPFOLIO INC,1433195,10Q,2020,Q4,2020-01-01,1433195_10Q_2021_0001433195-21-000106.htm
INTELLINETICS INC,1081745,8K,2021,Q3,2021-08-01,1081745_8K_2021_0001493152-21-019925.htm
MIX TELEMATICS LTD,1576914,8K,2021,Q2,2021-05-01,1576914_8K_2021_0001628280-21-009430.htm
TELENAV INC,1474439,8K,2021,Q1,2021-02-01,1474439_8K_2021_0001193125-21-046459.htm
BENEFITFOCUS INC,1576169,8K,2021,Q1,2021-02-01,1576169_8K_2021_0001193125-21-038775.htm
AUTOMATIC DATA PROCESSING,8670,8K,2021,Q4,2021-11-01,8670_8K_2021_0000008670-21-000039.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q1,2021-04-01,1167419_8K_2021_0001079973-21-000261.htm
SOLARWINDS CORP,1739942,8K,2021,Q3,2021-10-01,1739942_8K_2021_0001739942-21-000151.htm
QAD INC,1036188,8K,2021,Q2,2021-06-01,1036188_8K_2021_0000950142-21-002125.htm
MIX TELEMATICS LTD,1576914,10Q,2020,Q4,2020-01-01,1576914_10Q_2021_0001628280-21-021908.htm
CLEANSPARK INC,827876,8K,2021,Q3,2021-08-01,827876_8K_2021_0001663577-21-000436.htm
SYNOPSYS INC,883241,8K,2021,Q2,2021-06-01,883241_8K_2021_0001193125-21-193245.htm
ALTERYX INC,1689923,8K,2021,Q4,2021-11-01,1689923_8K_2021_0001689923-21-000095.htm
PAGERDUTY INC,1568100,10Q,2020,Q4,2020-01-01,1568100_10Q_2021_0001568100-21-000047.htm
MEDALLIA INC,1540184,8K,2021,Q4,2021-11-01,1540184_8K_2021_0001140361-21-036202.htm
BRIDGELINE DIGITAL INC,1378590,8K,2021,Q4,2021-12-01,1378590_8K_2021_0001437749-21-029118.htm
PALO ALTO NETWORKS INC,1327567,10Q,2020,Q4,2020-01-01,1327567_10Q_2021_0001327567-21-000014.htm
ACI WORLDWIDE INC,935036,8K,2021,Q1,2021-02-01,935036_8K_2021_0000935036-21-000011.htm
GSE SYSTEMS INC,944480,8K,2021,Q2,2021-05-01,944480_8K_2021_0001140361-21-017651.htm
QAD INC,1036188,8K,2021,Q3,2021-10-01,1036188_8K_2021_0001104659-21-126765.htm
BLACKLINE INC,1666134,8K,2021,Q1,2021-04-01,1666134_8K_2021_0001193125-21-121431.htm
IDEANOMICS INC,837852,8K,2021,Q1,2021-02-01,837852_8K_2021_0001104659-21-021903.htm
BILL.COM HOLDINGS INC,1786352,8K,2021,Q2,2021-05-01,1786352_8K_2021_0001564590-21-024959.htm
WORKDAY INC,1327811,8K,2021,Q4,2021-11-01,1327811_8K_2021_0001327811-21-000175.htm
CLEANSPARK INC,827876,8K,2021,Q3,2021-09-01,827876_8K_2021_0001663577-21-000508.htm
IDEANOMICS INC,837852,8K,2020,Q4,2020-01-01,837852_8K_2021_0001104659-21-004967.htm
TRADE DESK INC,1671933,10Q,2020,Q4,2020-01-01,1671933_10Q_2021_0001564590-21-042669.htm
MICROSTRATEGY INC,1050446,10Q,2020,Q4,2020-01-01,1050446_10Q_2021_0001564590-21-021949.htm
ASURE SOFTWARE INC,884144,8K,2021,Q3,2021-09-01,884144_8K_2021_0000884144-21-000013.htm
GSE SYSTEMS INC,944480,8K,2021,Q1,2021-03-01,944480_8K_2020_0001140361-21-011091.htm
QAD INC,1036188,10Q,2020,Q4,2020-01-01,1036188_10Q_2021_0001437749-21-021796.htm
PROGRESS SOFTWARE CORP,876167,8K,2021,Q1,2021-03-01,876167_8K_2021_0000876167-21-000049.htm
PROGRESS SOFTWARE CORP,876167,8K,2021,Q1,2021-04-01,876167_8K_2021_0000876167-21-000079.htm
CERENCE INC,1768267,10K,2020,Q4,2020-01-01,1768267_10K_2021_0001564590-21-057931.htm
PROS HOLDINGS INC,1392972,8K,2021,Q2,2021-05-01,1392972_8K_2021_0001392972-21-000058.htm
WORKDAY INC,1327811,8K,2021,Q3,2021-08-01,1327811_8K_2021_0001327811-21-000132.htm
SVMK INC,1739936,8K,2021,Q2,2021-05-01,1739936_8K_2021_0001564590-21-024924.htm
CLICKSTREAM CORP,1393548,8K,2021,Q4,2021-11-01,1393548_8K_2021_0001575705-21-000760.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q1,2021-03-01,1166388_8K_2021_0001166388-21-000020.htm
COUPA SOFTWARE INC,1385867,8K,2021,Q3,2021-09-01,1385867_8K_2021_0001385867-21-000022.htm
FAIR ISAAC CORP,814547,10Q,2019,Q4,2019-01-01,814547_10Q_2020_0000814547-21-000003.htm
INTUIT INC,896878,8K,2021,Q3,2021-09-01,896878_8K_2021_0001193125-21-271682.htm
NORTONLIFELOCK INC,849399,8K,2021,Q4,2021-11-01,849399_8K_2021_0000849399-21-000019.htm
BILL.COM HOLDINGS INC,1786352,8K,2021,Q2,2021-07-01,1786352_8K_2021_0001193125-21-218141.htm
SPLUNK INC,1353283,8K,2021,Q1,2021-03-01,1353283_8K_2021_0001353283-21-000003.htm
DYNATRACE INC,1773383,8K,2021,Q3,2021-10-01,1773383_8K_2021_0001773383-21-000113.htm
TWILIO INC,1447669,8K,2020,Q4,2020-01-01,1447669_8K_2021_0001193125-21-008667.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q1,2021-02-01,1166388_8K_2021_0001166388-21-000018.htm
PEGASYSTEMS INC,1013857,10Q,2020,Q4,2020-01-01,1013857_10Q_2021_0001013857-21-000093.htm
BRIDGELINE DIGITAL INC,1378590,10K,2020,Q4,2020-01-01,1378590_10K_2021_0001437749-21-028984.htm
IMAGEWARE SYSTEMS INC,941685,8K,2020,Q4,2020-01-01,941685_8K_2021_0001654954-21-000280.htm
PAID INC,1017655,10Q,2020,Q4,2020-01-01,1017655_10Q_2021_0001851734-21-000089.htm
INTELLINETICS INC,1081745,8K,2021,Q3,2021-09-01,1081745_8K_2021_0001493152-21-022363.htm
ACI WORLDWIDE INC,935036,8K,2021,Q1,2021-03-01,935036_8K_2021_0000935036-21-000019.htm
SYNOPSYS INC,883241,8K,2021,Q4,2021-12-01,883241_8K_2021_0001193125-21-353438.htm
Q2 HOLDINGS INC,1410384,8K,2021,Q2,2021-05-01,1410384_8K_2021_0001410384-21-000079.htm
VIRNETX HOLDING CORP,1082324,8K,2021,Q3,2021-09-01,1082324_8K_2021_0001140361-21-031658.htm
ELASTIC NV,1707753,8K,2020,Q4,2020-01-01,1707753_8K_2021_0001707753-21-000004.htm
CLOUDERA INC,1535379,10Q,2020,Q4,2020-01-01,1535379_10Q_2021_0001628280-21-018015.htm
CHANNELADVISOR CORP,1169652,8K,2021,Q2,2021-05-01,1169652_8K_2021_0001169652-21-000064.htm
NORTONLIFELOCK INC,849399,8K,2021,Q4,2021-11-01,849399_8K_2021_0001104659-21-139724.htm
IDEANOMICS INC,837852,8K,2021,Q2,2021-06-01,837852_8K_2021_0001104659-21-080229.htm
UPLAND SOFTWARE INC,1505155,8K,2021,Q1,2021-03-01,1505155_8K_2021_0001505155-21-000018.htm
BIGCOMMERCE HOLDIN INC,1626450,10Q,2020,Q4,2020-01-01,1626450_10Q_2021_0001564590-21-042140.htm
AUTODESK INC,769397,8K,2021,Q3,2021-08-01,769397_8K_2021_0000769397-21-000067.htm
CERENCE INC,1768267,8K,2021,Q4,2021-12-01,1768267_8K_2021_0001193125-21-357483.htm
HUBSPOT INC,1404655,10Q,2020,Q4,2020-01-01,1404655_10Q_2021_0001564590-21-024171.htm
SEACHANGE INTERNATIONAL INC,1019671,8K,2021,Q2,2021-05-01,1019671_8K_2021_0001193125-21-165558.htm
CERENCE INC,1768267,8K,2021,Q4,2021-11-01,1768267_8K_2021_0001564590-21-057821.htm
IMAGEWARE SYSTEMS INC,941685,8K,2021,Q2,2021-06-01,941685_8K_2021_0001654954-21-007264.htm
TENABLE HOLDINGS INC,1660280,8K,2021,Q1,2021-02-01,1660280_8K_2021_0001660280-21-000010.htm
CYREN LTD,1084577,8K,2021,Q3,2021-09-01,1084577_8K_2021_0001213900-21-048778.htm
BLACKBOXSTOCKS INC,1567900,10Q,2020,Q4,2020-01-01,1567900_10Q_2021_0001437749-21-026767.htm
AVAYA HLDGS CORP,1418100,8K,2021,Q2,2021-05-01,1418100_8K_2021_0001418100-21-000048.htm
CADENCE DESIGN SYSTEMS INC,813672,8K,2021,Q2,2021-07-01,813672_8K_2021_0001193125-21-224307.htm
GUIDEWIRE SOFTWARE INC,1528396,8K,2021,Q2,2021-06-01,1528396_8K_2021_0001528396-21-000033.htm
BOX INC,1372612,10Q,2020,Q4,2020-01-01,1372612_10Q_2021_0001564590-21-047099.htm
AGILYSYS INC,78749,8K,2021,Q4,2021-11-01,78749_8K_2021_0001564590-21-058065.htm
AUDIOEYE INC,1362190,10Q,2020,Q4,2020-01-01,1362190_10Q_2021_0001104659-21-103588.htm
CLOUDFLARE INC,1477333,8K,2021,Q2,2021-05-01,1477333_8K_2021_0001477333-21-000024.htm
CITRIX SYSTEMS INC,877890,8K,2021,Q2,2021-07-01,877890_8K_2021_0001193125-21-228138.htm
WORKDAY INC,1327811,8K,2021,Q2,2021-05-01,1327811_8K_2021_0001327811-21-000053.htm
ADOBE INC,796343,10Q,2020,Q4,2020-01-01,796343_10Q_2021_0000796343-21-000069.htm
SOLARWINDS CORP,1739942,10K,2019,Q4,2019-01-01,1739942_10K_2020_0001739942-21-000043.htm
CLEANSPARK INC,827876,8K,2021,Q4,2021-11-01,827876_8K_2021_0001886086-21-000008.htm
SALESFORCE.COM INC,1108524,8K,2021,Q2,2021-07-01,1108524_8K_2021_0001193125-21-213170.htm
PROGRESS SOFTWARE CORP,876167,10Q,2020,Q4,2020-01-01,876167_10Q_2021_0000876167-21-000152.htm
SONIC FOUNDRY INC,1029744,8K,2021,Q2,2021-05-01,1029744_8K_2021_0001437749-21-011855.htm
CITRIX SYSTEMS INC,877890,8K,2021,Q4,2021-11-01,877890_8K_2021_0001193125-21-319281.htm
BIO-KEY INTERNATIONAL INC,1019034,10Q,2020,Q4,2020-01-01,1019034_10Q_2021_0001437749-21-020184.htm
FIVE9 INC,1288847,8K,2021,Q3,2021-10-01,1288847_8K_2021_0001193125-21-289272.htm
BRIDGELINE DIGITAL INC,1378590,8K,2021,Q1,2021-02-01,1378590_8K_2021_0001437749-21-002800.htm
DROPBOX INC,1467623,8K,2021,Q4,2021-11-01,1467623_8K_2021_0001467623-21-000043.htm
BOX INC,1372612,8K,2021,Q2,2021-07-01,1372612_8K_2021_0001387131-21-007154.htm
ACI WORLDWIDE INC,935036,8K,2021,Q2,2021-06-01,935036_8K_2021_0000935036-21-000035.htm
APPFOLIO INC,1433195,10Q,2020,Q4,2020-01-01,1433195_10Q_2021_0001433195-21-000080.htm
SONIC FOUNDRY INC,1029744,10K,2020,Q4,2020-01-01,1029744_10K_2021_0001437749-21-028230.htm
FIREEYE INC,1370880,8K,2021,Q4,2021-11-01,1370880_8K_2021_0001370880-21-000044.htm
PARETEUM CORP,1084384,8K,2021,Q2,2021-06-01,1084384_8K_2021_0001628280-21-012731.htm
EVERBRIDGE INC,1437352,8K,2021,Q4,2021-12-01,1437352_8K_2021_0001193125-21-352744.htm
SAILPOINT TECHNO HLDG,1627857,8K,2021,Q1,2021-02-01,1627857_8K_2021_0001628280-21-003295.htm
SMARTSHEET INC,1366561,8K,2021,Q1,2021-03-01,1366561_8K_2021_0001366561-21-000011.htm
ALARM.COM HOLDINGS INC,1459200,10Q,2020,Q4,2020-01-01,1459200_10Q_2021_0001459200-21-000035.htm
ZOOM VIDEO COMUNICATIONS INC,1585521,10Q,2020,Q4,2020-01-01,1585521_10Q_2021_0001585521-21-000295.htm
AUTOMATIC DATA PROCESSING,8670,8K,2021,Q2,2021-05-01,8670_8K_2021_0001193125-21-162076.htm
SLACK TECHNOLOGIES INC,1764925,8K,2021,Q2,2021-07-01,1764925_8K_2021_0001193125-21-220229.htm
ASPEN TECHNOLOGY INC,929940,8K,2020,Q4,2020-01-01,929940_8K_2021_0000929940-21-000012.htm
REALNETWORKS INC,1046327,10K,2019,Q4,2019-01-01,1046327_10K_2020_0001046327-21-000018.htm
ROCKETFUEL BLOCKCHAIN INC,823546,10Q,2020,Q4,2020-01-01,823546_10Q_2021_0001493152-21-020015.htm
BRIDGELINE DIGITAL INC,1378590,8K,2021,Q2,2021-06-01,1378590_8K_2021_0001437749-21-014154.htm
BENTLEY SYSTEMS INC,1031308,8K,2021,Q2,2021-06-01,1031308_8K_2021_0001104659-21-086363.htm
BRIDGELINE DIGITAL INC,1378590,8K,2021,Q4,2021-12-01,1378590_8K_2021_0001437749-21-027869.htm
PALANTIR TECHNOLOG INC,1321655,8K,2021,Q4,2021-11-01,1321655_8K_2021_0001193125-21-323727.htm
MICROSTRATEGY INC,1050446,8K,2021,Q1,2021-02-01,1050446_8K_2021_0001193125-21-045792.htm
